Kingdom,Phylum,Class,Order,Family,Genus,Relative Abundance (%)
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,
21.37,,,,,,
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,---,
15.63,,,,,,
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,---,
10.3,,,,,,
Bacteria,Firmicutes,Clostridia,Clostridiales,---,---,
8.33,,,,,,
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,
7.32,,,,,,
Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Akkermansia,
5.38,,,,,,
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
3.85,,,,,,
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,
3.47,,,,,,
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,
2.54,,,,,,
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,
2.43,,,,,,
Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,---,
2.26,,,,,,
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillospira,
1.59,,,,,,
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,
1.26,,,,,,
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,
1.08,,,,,,
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,[Barnesiellaceae],---,
1.01,,,,,,
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,---,
0.98,,,,,,
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira,
0.97,,,,,,
Bacteria,Firmicutes,Clostridia,Clostridiales,[Tissierellaceae],Peptoniphilus,
0.86,,,,,,
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,
0.82,,,,,,
Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,---,
0.82,,,,,,
Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,
0.81,,,,,,
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,[Paraprevotellaceae],Paraprevotella,
